Hardwired...To Self-Destruct,Metallica
The Ultimate Collection,Garth Brooks
Christmas Together,Garth Brooks & Trisha Yearwood
They Don't Know,Jason Aldean
Cleopatra,The Lumineers
Gunslinger,Garth Brooks
Villains,Queens Of The Stone Age
The Nashville Sound,Jason Isbell And The 400 Unit
Feed The Machine,Nickelback
The First Time,Kelsea Ballerini
Sleep Well Beast,The National
Christmas Together / Gunslinger,Garth Brooks & Trisha Yearwood
Science Fiction,Brand New
I See You,The xx
California,Blink-182
#MYNAMEISJOETHOMAS,Joe
A Moment Apart,ODESZA
The Storm,Tech N9ne
Run The Jewels 3,Run The Jewels
'Tis The Season,Jimmy Buffett
4 Indictments,MO3
Not The Actual Events (EP),Nine Inch Nails
Vaquero,Aaron Watson
Pure Comedy,Father John Misty
Perception,NF
All-Amerikkkan Bada$$,Joey Bada$$
Current Mood,Dustin Lynch
The Bob's Burgers Music Album,Soundtrack
MOSAIC,311
Thankful (EP),New Kids On The Block
GEMINI,Macklemore
Love Yourself: Her,BTS
11 Short Stories Of Pain & Glory,Dropkick Murphys
Rise,Danny Gokey
Hot Thoughts,Spoon
Voices Of Angels,Celtic Woman Featuring The Orchestra Of Ireland
Sweet Southern Sugar,Kid Rock
Brave Enough,Lindsey Stirling
"22, A Million",Bon Iver
"Gangsta Love, Part I",MO3
Did It For The Party,Big & Rich
One Way,Tamela Mann
Three Stripes,Bell Biv DeVoe
Unapologetically,Kelsea Ballerini
Roll With The Punches,Van Morrison
Starlight,Bethel Music
Got Your Six,Five Finger Death Punch
The Peace And The Panic,Neck Deep
Crooked Teeth,Papa Roach
Dirty South,Lucas Hoge
