Film,Genre,Year of release
(500) Days of Summer ,Comedy,2009
"10,000 B.C.",Adventure,2008
12 Rounds ,Action,2009
127 Hours,Adventure,2010
17 Again ,Comedy,2009
2012,Action,2009
27 Dresses,Comedy,2008
30 Days of Night,Horror,2007
30 Minutes or Less,Comedy,2011
50/50,Comedy,2011
88 Minutes,Drama,2007
A Dangerous Method,Drama,2011
A Nightmare on Elm Street,Horror,2010
A Serious Man ,Drama,2009
A Very Harold and Kumar Christmas,Comedy,2011
Abduction,Action,2011
Across the Universe,Romance,2007
Adventureland ,Comedy,2009
Albert Nobbs,Drama,2011
Alice in Wonderland,Adventure,2010
Alien vs. Predator -- Requiem,Horror,2007
Aliens in the Attic ,Adventure,2009
All About Steve ,Comedy,2009
All Good Things,Drama,2010
Amelia ,Adventure,2009
American Gangster,Thriller,2007
An Education,Drama,2009
Anonymous,Drama,2011
Apollo 18,Horror,2011
Appaloosa,Action,2008
Armored ,Action,2009
Arthur,Comedy,2011
Australia,Adventure,2008
Avatar ,Action,2009
Away We Go ,Comedy,2009
Baby Mama,Comedy,2008
Babylon A.D.,Action,2008
Bad Teacher,Comedy,2011
Bandslam ,Comedy,2009
Bangkok Dangerous,Action,2008
Battle: Los Angeles,Action,2011
"Be Kind, Rewind",Comedy,2008
Beastly,Romance,2011
Bedtime Stories,Comedy,2008
Beginners,Comedy,2010
Beowulf,Action,2007
Beverly Hills Chihuahua,Adventure,2008
Black Swan        ,Drama,2010
Blades of Glory,Comedy,2007
Body of Lies,Action,2008
Bride Wars ,Comedy,2009
Bridesmaids,Comedy,2011
Brooklyn's Finest,Action,2009
Brothers ,Drama,2009
Bruno ,Comedy,2009
Buried,Drama,2010
Burlesque,Drama,2010
Burn After Reading,Comedy,2008
Captain America: The First Avenger,Action,2011
Case 39,Horror,2009
Cats & Dogs: The Revenge of Kitty Galore,Action,2010
Cedar Rapids,Comedy,2011
Changeling,Drama,2008
Cirque du Freak: The Vampire's Assistant ,Action,2009
City Island,Comedy,2009
City of Ember,Adventure,2008
Clash of the Titans,Action,2010
Cloverfield,Action,2008
College Road Trip,Adventure,2008
Colombiana,Action,2011
Conan the Barbarian,Action,2011
Confessions of a Shopaholic ,Comedy,2009
Contagion,Thriller,2011
Cop Out,Action,2010
Country Strong,Drama,2010
Couples Retreat ,Comedy,2009
Cowboys and Aliens,Action,2011
Crank: High Voltage ,Action,2009
"Crazy, Stupid, Love",Romance,2011
Cyrus,Comedy,2010
Daddy Day Camp,Comedy,2007
Dance Flick ,Action,2009
Date Night,Comedy,2010
"Daybreakers	",Action,2009
Dear John,Drama,2010
Death at a Funeral,Comedy,2007
Death Race,Action,2008
"Definitely, Maybe",Comedy,2008
Devil,Horror,2010
Diary of a Wimpy Kid,Comedy,2010
Diary of a Wimpy Kid 2: Rodrick Rules,Comedy,2011
Did You Hear About the Morgans? ,Comedy,2009
Dinner for Schmucks,Comedy,2010
Disaster Movie,Comedy,2008
District 9 ,Action,2009
Disturbia,Thriller,2007
